30 4800
0 30005
1 30005
2 30005
3 30005
4 30005
5 30005
6 30005
7 30005
8 30005
9 30005
10 30005
11 30005
12 30005
13 30005
14 30005
15 30005
16 30005
17 30005
18 30005
19 30005
20 30005
21 30005
22 30005
23 30005
24 30005
25 30005
26 30005
27 30005
28 30005
29 30005
150 151 800
152 153 150
152 153 150
154 155 200
156 157 100
158 159 150
160 161 150
162 163 7474
164 165 1000
166 167 250
168 169 600
170 171 200
172 173 150
174 175 200
176 177 675
178 179 500
180 181 500
182 183 11900
184 185 19500
186 187 1900
188 189 550
190 191 50
152 192 100
193 194 300
195 196 700
195 197 200
198 199 2900
160 200 150
201 202 900
201 202 900
203 204 250
205 206 154
150 207 1400
208 209 650
210 211 150
212 213 450
176 214 525
215 216 20800
215 216 20800
215 216 20800
217 218 175
172 219 75
193 220 250
221 199 5600
221 199 5600
222 223 1600
224 225 1800
226 227 200
228 229 200
230 231 250
174 232 5250
170 233 250
174 234 2600
174 234 2600
217 235 200
215 236 20450
193 200 300
237 238 750
237 238 750
239 240 1200
170 241 150
196 242 1100
243 244 300
245 246 250
245 246 250
193 247 350
248 249 1300
166 250 300
243 251 750
212 197 450
252 253 300
164 254 4475
255 256 950
257 258 547
174 259 900
166 260 200
261 262 100
217 263 375
264 265 50
264 265 50
266 267 1525
212 268 450
269 270 400
271 272 850
273 274 317
226 275 300
226 275 300
276 277 625
276 277 625
276 277 625
276 277 625
276 277 625
276 277 625
276 277 625
276 277 625
193 278 250
279 280 183
174 236 3500
174 236 3500
281 282 2200
281 282 2200
283 284 750
237 285 950
286 287 1500
193 288 300
176 289 1650
166 290 250
291 292 200
293 294 3100
279 295 650
296 297 825
188 298 4000
243 299 400
243 299 400
300 301 13900
205 302 1450
174 303 317
304 305 800
198 306 9750
307 308 7500
309 310 5500
150 311 1400
312 313 600
314 315 214
316 317 5900
174 318 575
174 318 575
276 319 1580
320 321 147
322 323 550
168 324 150
325 326 250
210 327 100
210 327 100
279 328 840
150 329 800
150 330 800
331 195 14100
331 195 14100
332 333 188
166 334 200
335 192 350
174 336 2600
164 337 250
255 338 2150
152 339 225
230 321 350
340 341 1150
340 341 1150
342 343 150
335 344 300
345 346 550
347 348 5100
194 349 300
194 349 300
164 350 1050
273 351 620
